Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Hawkeye	01 hours 00 minutes	Action; Adventure; Crime	November 24, 2021		Alaqua Cox				English, American Sign	USA					Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a Super Hero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit.	https://deafmovie.org/title/hawkeye/
Hear and Now	01 hours 25 minutes	Documentary	January 5, 2007	x Documentaries											In this deeply personal memoir, filmmaker Irene Taylor Brodsky documents her deaf parents’ complex decision to leave their world of silence and undergo a dangerous surgery to get cochlear implants — the only one of its kind that can restore a sense. At the age of 65, Paul and Sally Taylor decided they wanted to hear their first symphonies, hear their children’s’ voices, and talk on the phone. How will this operation transform them, their relationship with each other, and the deaf world they might leave behind? This is a story of two people taking a journey from silence to sound. The question is, what will they make of it, and what might they gain — or lose — forever?	https://deafmovie.org/title/hear-and-now-2/
Hear me			August 22, 2017												Marisol, a young deaf woman raised by a mother who has always denied her handicap, finally empowers herself when she meets the deaf community.	https://deafmovie.org/title/hear-me-2/
Hear Me (Original title: Ting shuo)		Drama; Romance	August 28, 2009	Movies with No Deaf Actors | Leading Roles; Movies					Taiwanese Sign Language	Taiwan					A delivery Boy falls for a young girl who is deaf. Comparing themselves with “water birds” and trees, together they are going to break the barrier and pursue their dreams and take their relationship to the next level.	https://deafmovie.org/title/hear-me/
Hear No Evil		Thriller	March 26, 1993	Movies with Deaf Actors | Leading Roles	Marlee Matlin										Jillian Shanahan, a deaf woman, becomes the target of a ruthless and corrupt cop. The cop is looking for a stolen coin, which he plans to keep for himself. A journalist briefly acquires the (…)	https://deafmovie.org/title/hear-no-evil/
Hearing Everett: The Rancho Sordo Mudo Story		Documentary	October 10, 2008	x Documentaries; x Documentaries by Non-Deaf Directors											A neon sign builder and a father of 7, Ed Everett was an average man in search of his purpose. During a short term mission trip to Mexico his life would change forever. Little did he know, his own son was preparing him for this very moment. A family willing to trust God and enter the silent world of the deaf.	https://deafmovie.org/title/hearing-everett/
Heartstrings			October 9, 2020	Shorts with Deaf Actors | Leading Roles; Shorts	Jared DeBusk										Black Summer	https://deafmovie.org/title/heartstrings/
Hedy and Heidi: The Lost Sister	01 hours 15 minutes	N/A	November 1, 2017	Movies; Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers	Heidi Branch; Jeff Branch				American Sign Language	USA	50-100% Sign Language Usage			tt8856270	N/A	https://deafmovie.org/title/hedy-and-heidi-the-lost-sister/
Helen Keller: The Miracle Continues	01 hours 40 minutes	Drama; Biography	April 23, 1984	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Set in 1898, Cambridge, Massachusetts, depicts Annie Sullivan Macy supporting her student Helen Keller at Radcliffe College.	https://deafmovie.org/title/helen-keller-the-miracle-continues/
Henpecked in Morocco		Comedy; Short	July 15, 1927	Shorts with Deaf Actors | Leading Roles; Shorts	Tommy Albert (Emerson Romero)					USA	x Mime				N/A	https://deafmovie.org/title/henpecked-in-morocco/
Her Love Boils Bathwater		Drama	October 7, 2016	Movies with No Deaf Actors | Supporting Roles					Japanese Sign Language; Japanese	Japan				tt4778500	A strict, but caring mother has an awakening when she is told she has cancer and it is terminal. She has a few months. She needs to complete her tasks in that short time frame. She needs to retrieve her husband who has vanished and get the family business restarted. She needs to help her daughter be able to pick after herself. Will the family bonds grow stronger or wither?	https://deafmovie.org/title/tt4778500/
Here After		Thriller	July 25, 2024	Movies						USA; Italy; EUR	1-10% Sign Language Usage	Paramount Pictures		tt5402714	After her teenage daughter survives a harrowing near-death experience, a mother begins to notice increasingly disturbing and unexplainable changes in her behavior. As the girl’s actions grow more sinister and otherworldly, the mother becomes convinced that her daughter didn’t return alone but brought something dark and malevolent back from the other side. Determined to uncover the truth, she delves into the mystery, desperate to save her child before it’s too late.	https://deafmovie.org/title/here-after/
Here We Are	01 hours 48 minutes	Drama	January 3, 2023						American Sign Language; English	USA	0–1% Sign Language Usage				A young writer attempts to escape his slacker surroundings for the great American unknown by checking himself into a medical research facility to pay off his debt, fix up his RV and finally hit the road. When he meets a mysterious young woman with whom he shares a true connection, he thinks may have just found the co-pilot on the road of life he’s been looking for all along. However their pasts and personal fears threaten to ruin a good thing before it even begins.	https://deafmovie.org/title/here-we-are/
Here/Not Here	29 minutes		August 13, 2020	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Simeon Campbell; Andrei Dragunov	Bim Ajadi			English; British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short	tt12133142	Synopsis 01Three rival urban groups clash over who should use an abandoned warehouse space. Despite their differences, they find a common language through movement that inspires them to communicate, collaborate and come together.	https://deafmovie.org/title/tt12133142/
His Bodyguard		Thriller	July 22, 1998	Movies with Deaf Actors | Leading Roles; Movies					American Sign Language	USA				tt0134099	A deaf man working at his father’s high tech chemical engineering firm witnesses criminals fleeing from the firm’s headquarters just after they’ve stolen an ultra-valuable experimental migraine cure. A female security officer is assigned to protect him, and as she does, the two fall for each other.	https://deafmovie.org/title/tt0134099/
His Busy Hour			March 1, 1926	Movies with Deaf Actors | Leading Roles; Movies	Albert Ballin					USA	x Mime				Heustis distribution.	https://deafmovie.org/title/his-busy-hour/
Hitsudan Hostess	01 hours 33 minutes	Biography	January 10, 2010	Movies with No Deaf Actors | Leading Roles; Movies					Japanese	Japan				tt1603289	At the age of one, Rie Saito loses her ability to hear. She grows up as a rebellious child, running away from home frequently in her hometown of Aomori. By writing calligraphy in a club Rie starts to open her eyes to the world. She then moves to Tokyo to become Ginza’s number one hostess …(Source: AsianWiki)	https://deafmovie.org/title/tt1603289/
Hope	27 minutes		September 23, 2019	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Julia Wejnar	David Ellington			British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short	tt18747624	Hope is a care-free, fun-loving Deaf teenager… but a fatal diagnosis is about to change everything.	https://deafmovie.org/title/tt18747624/
Howard – verinen iltapäivä	30 minutes	Action; Comedy; Short	January 26, 1997												Howard (Ilja Peltonen) is a florist without ability to speak or hear. One day a bank is robbed near by Howard’s florist shop, and Howard accidentally kills the man who robbed the bank. From then on, the police start chasing Howard through the city and the body count gets higher by the minute..	https://deafmovie.org/title/howard-verinen-iltapaiva/
Human Actually Ep. 1 | MEI		Short	May 1, 2021	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Jeremy Lee Stone			American Sign Language				Free Short		A short film about our Physiological needs, “MEI” by Jeremy Lee Stone explores what life could look like if air was no longer breathable.	https://deafmovie.org/title/human-actually-ep-1-mei/
Human Actually Ep. 2 | MAYSON	7 minutes	Short	May 20, 2021	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts									Free Short		A short film about our Safety needs, “MAYSON” by Hypernovas Productions delves into a young deaf Transgirl’s search for a home.	https://deafmovie.org/title/human-actually-ep-2-mayson/
Human Actually Ep. 3 | “Disconnected: The Musical”		Short	May 1, 2021	Shorts with Deaf Actors | Leading Roles; Shorts		Dickie Hearts			American Sign Language	USA	50-100% Sign Language Usage				A short film about our Love & Belonging Needs, “DISCONNECTED: THE MUSICAL” by Dickie Hearts embraces the meaning of connection, whether it’s through a romantic interest or with a chosen family.	https://deafmovie.org/title/human-actually-ep-3-disconnected-the-musical/
Hush	01 hours 22 minutes	Horror; Thriller	March 12, 2016	Movies with No Deaf Actors | Leading Roles; Movies					English	USA	x Misuse Sign Language				A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.	https://deafmovie.org/title/hush/
I Love You	01 hours 51 minutes	Drama	November 6, 1999	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies	Atom Sunada	Akihiro Yonaiyama				Japan	50-100% Sign Language Usage			tt0263458	Ai rabu yû(original title)	https://deafmovie.org/title/i-love-you/
I Love You, But		Romance; N/A	August 1, 1998	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies		Peter Wolf			American Sign Language; English	USA	50-100% Sign Language Usage				N/A	https://deafmovie.org/title/i-love-you-but/
I quit being friends (orig. title: 友達やめた)	01 hours 24 minutes		April 1, 2020	x Documentaries by Deaf Directors; x Documentaries					Japanese Sign Language; Japanese	Japan					In her new film, deaf director Ayako IMAMURA turns her camera towards emotional conflicts with her friend Ma-chan, who has problems interacting with people due to her Asperger’s Syndrome. A moving story that examines the meaning of friendship.	https://deafmovie.org/title/i-quit-being-friends-orig-title-%e5%8f%8b%e9%81%94%e3%82%84%e3%82%81%e3%81%9f/
I’ll Come To You With Deaf Eyes	01 hours 45 minutes	Documentary	January 20, 2016	x Documentaries; x Documentaries by Non-Deaf Directors					French Sign Language	France; EUR					This film is a letter to my friend Vincent who died ten years ago. Vincent was Deaf. He introduced me to his language, his culture, his world. Through Vincent ‘s life, the film will examine the roots of the distress that plagues the Deaf, and also explore a rich and fascinating world, a people that struggles to preserve its Sign Language and Culture.	https://deafmovie.org/title/ill-come-to-you-with-deaf-eyes/
